Author,votes
Ursula K. Le Guin,137
N.K. Jemisin,128
Robin Hobb,127
Martha Wells,114
Lois McMaster Bujold,111
Naomi Novik,110
Susanna Clarke,80
Becky Chambers,76
Katherine Addison,74
Madeline Miller,71
Tamsyn Muir,68
Octavia Butler,66
JK Rowling,63
Diana Wynne Jones,54
Tamora Pierce,49
Katherine Arden,45
Ann Leckie,44
Arkady Martine,43
Leigh Bardugo,41
Jacqueline Carey,40
Robin McKinley,39
R. F. Kuang,38
Fonda Lee,35
Patricia McKillip,34
Seanan McGuire,33
Mary Robinette Kowal,33
Erin Morgenstern,32
M.L. Wang,32
Marie Brennan,31
Alix E. Harrow,31
V.E. Schwab,31
T. Kingfisher,29
Anne McCaffrey,26
Janny Wurts,24
Jo Walton,23
Kate Elliott,23
Emily St. John Mandel,23
Connie Willis,22
Mercedes Lackey,22
Rebecca Roanhorse,22
Claire North,22
Helene Wecker,22
Catherynne M. Valente,21
Samantha Shannon,20
Nnedi Okorafor,20
S.A. Chakraborty,20
Megan Whalen Turner,19
Sofia Samatar,18
Margaret Atwood,18
Maggie Stiefvater,18
CJ Cherryh,17
Laini Taylor,16
Carol Berg,15
Juliet Marillier,14
Sherwood Smith,14
Patricia Briggs,14
Elizabeth Moon,13
Rachel Aaron,13
Susan Cooper,13
Silvia Moreno-Garcia,13
Nghi Vo,12
Rosemary Kirstein,12
Frances Hardinge,12
Kameron Hurley,11
Lynn Flewelling,10
Trudi Canavan,10
Shirley Jackson,10
Mary Doria Russell,10
Ada Palmer,10
Kristin Cashore,10
Tanith Lee,10
Suzanne Collins,10
Mary Shelley,10
Patricia C. Wrede,10
Tasha Suri,9
Anne Bishop,9
Katharine Kerr,9
Shannon Hale,8
Genevieve Cogman,8
Michelle West,8
Sarah Lin,8
Rachel Hartman,8
Tracy Deonn,8
Ellen Kushner,7
Mary Gentle,7
Aliette de Bodard,7
C.S. Friedman,7
Madeleine L'Engle,7
Marjorie M. Liu,7
Mira Grant,6
Micaiah Johnson,6
Sharon Shinn,6
Marie Lu,6
K.S. Villoso,6
Audrey Niffenegger,5
Cinda Williams Chima,5
Naomi Alderman,5
Diana Gabaldon,5
Gail Carriger,5
Tanya Huff,5
Sue Burke,5
Nalo Hopkinson,5
Emily Tesh,5
Kelley Armstrong,5
Jodi Taylor,5
Barbara Hambly,5
Mariam Petrosyan,5
